Order ID;Restaurant Name;Location;Order Time;Delivery Time;Delivery Duration (min);Pizza Size;Pizza Type;Toppings Count;Distance (km);Traffic Level;Payment Method;Is Peak Hour;Is Weekend;Delivery Efficiency (min/km);Topping Density;Order Month;Payment Category;Estimated Duration (min);Delay (min);Is Delayed;Pizza Complexity;Traffic Impact;Order Hour;Restaurant Avg Time
ORD001;Domino's;New York, NY;5/1/2024 18:30;5/1/2024 18:45;15;Medium;Veg;3;2,5;Medium;Card;VERDADERO;FALSO;6;1,2;January;Online;6;9;FALSO;6;2;18;30,25943396
ORD002;Papa John's;Los Angeles, CA;14/2/2024 20:00;14/2/2024 20:25;25;Large;Non-Veg;4;5;High;Wallet;VERDADERO;FALSO;5;0,8;February;Online;12;13;FALSO;12;3;20;28,18627451
ORD003;Little Caesars;Chicago, IL;21/3/2024 12:15;21/3/2024 12:35;20;Small;Vegan;2;3;Low;UPI;FALSO;FALSO;6,666666667;0,666666667;March;Online;7,2;12,8;FALSO;2;1;12;28,84422111
ORD004;Pizza Hut;Miami, FL;10/4/2024 19:45;10/4/2024 20:10;25;XL;Cheese Burst;5;4,5;Medium;Cash;VERDADERO;FALSO;5,555555556;1,111111111;April;Offline;10,8;14,2;FALSO;20;2;19;29,94845361
ORD005;Marco's Pizza;Dallas, TX;5/5/2024 13:00;5/5/2024 13:20;20;Medium;Non-Veg;3;2;High;Card;FALSO;VERDADERO;10;1,5;May;Online;4,8;15,2;FALSO;6;3;13;30,28645833
ORD006;Domino's;New York, NY;6/1/2024 19:00;6/1/2024 19:20;20;Medium;Non-Veg;3;3;High;Card;VERDADERO;VERDADERO;6,666666667;1;January;Online;7,2;12,8;FALSO;6;3;19;30,25943396
ORD007;Papa John's;Los Angeles, CA;7/1/2024 20:15;7/1/2024 20:40;25;Large;Veg;4;4,5;Medium;UPI;VERDADERO;VERDADERO;5,555555556;0,888888889;January;Online;10,8;14,2;FALSO;12;2;20;28,18627451
ORD008;Little Caesars;Chicago, IL;8/1/2024 18:30;8/1/2024 18:50;20;Small;Vegan;2;2;Low;Cash;VERDADERO;FALSO;10;1;January;Offline;4,8;15,2;FALSO;2;1;18;28,84422111
ORD009;Pizza Hut;Miami, FL;9/1/2024 19:45;9/1/2024 20:10;25;XL;Cheese Burst;5;5;High;Wallet;VERDADERO;FALSO;5;1;January;Online;12;13;FALSO;20;3;19;29,94845361
ORD010;Marco's Pizza;Dallas, TX;10/1/2024 13:00;10/1/2024 13:20;20;Medium;Non-Veg;3;3,5;Medium;Card;FALSO;FALSO;5,714285714;0,857142857;January;Online;8,4;11,6;FALSO;6;2;13;30,28645833
